,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,albany,1.0,US,1537760220.0,89.0,42.65,-73.75,53.06,2.17
1,ostrovnoy,0.0,RU,1537761478.0,93.0,68.05,39.51,42.95,14.58
2,college,75.0,US,1537757760.0,89.0,64.86,-147.8,50.0,3.36
3,new norfolk,40.0,AU,1537759800.0,37.0,-42.78,147.06,53.6,5.82
4,ust-nera,0.0,RU,1537761478.0,73.0,64.57,143.24,28.82,2.73
5,arraial do cabo,0.0,BR,1537761479.0,95.0,-22.97,-42.02,71.3,20.29
6,georgetown,0.0,GY,1537758000.0,94.0,6.8,-58.16,77.0,4.7
7,vanimo,32.0,PG,1537761480.0,100.0,-2.67,141.3,80.3,3.62
8,bluff,0.0,AU,1537761480.0,33.0,-23.58,149.07,82.46,5.19
9,punta arenas,20.0,CL,1537758000.0,64.0,-53.16,-70.91,33.8,6.93
10,kapaa,75.0,US,1537757760.0,93.0,22.08,-159.32,82.94,11.41
12,la mana,40.0,EC,1537758000.0,87.0,-0.93,-79.22,50.0,9.17
13,kysyl-syr,56.0,RU,1537761481.0,64.0,63.9,122.77,48.35,5.41
14,alofi,32.0,NU,1537758000.0,69.0,-19.06,-169.92,82.4,8.05
15,ponta do sol,24.0,BR,1537761482.0,65.0,-20.63,-46.0,65.72,4.18
16,cape town,0.0,ZA,1537758000.0,87.0,-33.93,18.42,53.6,6.93
17,hilo,90.0,US,1537757580.0,69.0,19.71,-155.08,82.04,8.05
18,aswan,0.0,EG,1537758000.0,34.0,24.09,32.9,82.4,8.05
19,magadi,75.0,IN,1537759800.0,94.0,12.96,77.22,69.8,9.17
20,bredasdorp,0.0,ZA,1537758000.0,93.0,-34.53,20.04,41.0,2.24
21,port alfred,0.0,ZA,1537761484.0,100.0,-33.59,26.89,57.98,3.62
22,hammerfest,75.0,NO,1537757400.0,70.0,70.66,23.68,46.4,25.28
23,proletarsk,0.0,RU,1537761357.0,90.0,46.7,41.72,51.41,8.1
24,hermanus,0.0,ZA,1537761485.0,97.0,-34.42,19.24,36.11,3.29
25,sisimiut,76.0,GL,1537761485.0,100.0,66.94,-53.67,27.29,1.72
26,iqaluit,75.0,CA,1537758000.0,100.0,63.75,-68.52,32.0,16.11
27,hami,0.0,CN,1537761486.0,44.0,42.84,93.51,66.71,2.17
28,lorengau,36.0,PG,1537761486.0,100.0,-2.02,147.27,83.63,4.74
29,los negros,20.0,CU,1537757580.0,78.0,20.23,-76.31,77.0,3.36
30,batagay-alyta,80.0,RU,1537761487.0,82.0,67.8,130.41,27.56,4.07
31,henties bay,68.0,NA,1537761487.0,100.0,-22.12,14.28,55.28,2.84
32,lom sak,40.0,TH,1537758000.0,78.0,16.78,101.24,82.4,2.24
33,carnarvon,24.0,ZA,1537761488.0,37.0,-30.97,22.13,38.81,4.97
34,ljungby,8.0,SE,1537759200.0,93.0,56.83,13.94,39.2,6.93
35,simplicio mendes,0.0,BR,1537761488.0,37.0,-7.85,-41.91,82.19,13.02
36,kavieng,80.0,PG,1537761336.0,100.0,-2.57,150.8,83.63,3.4
37,gushikawa,40.0,JP,1537758000.0,73.0,26.35,127.87,86.0,10.29
38,tuatapere,88.0,NZ,1537761489.0,100.0,-46.13,167.69,41.87,8.55
39,ushuaia,75.0,AR,1537758000.0,93.0,-54.81,-68.31,35.6,23.04
40,atuona,56.0,PF,1537761490.0,100.0,-9.8,-139.03,79.4,9.44
41,butaritari,0.0,KI,1537761490.0,100.0,3.07,172.79,84.71,8.66
42,aksarka,32.0,RU,1537761491.0,85.0,66.56,67.8,46.1,3.29
43,juneau,75.0,US,1537760220.0,100.0,58.3,-134.42,51.98,2.84
44,victoria,75.0,BN,1537759800.0,74.0,5.28,115.24,87.8,4.7
46,paamiut,80.0,GL,1537761492.0,96.0,61.99,-49.67,41.06,30.47
47,ribeira grande,36.0,PT,1537761492.0,100.0,38.52,-28.7,73.19,9.66
48,samarai,92.0,PG,1537761492.0,100.0,-10.62,150.67,74.99,18.5
49,axim,92.0,GH,1537761493.0,100.0,4.87,-2.24,77.96,10.45
50,karratha,0.0,AU,1537761493.0,11.0,-20.74,116.85,99.56,4.63
51,maua,0.0,KE,1537761493.0,86.0,0.23,37.94,55.82,3.96
52,ifo,40.0,NG,1537758000.0,94.0,6.81,3.2,73.4,5.82
53,rikitea,92.0,PF,1537761494.0,100.0,-23.12,-134.97,65.0,18.61
55,ambon,0.0,FR,1537759800.0,87.0,47.55,-2.56,46.4,8.05
56,evensk,88.0,RU,1537761495.0,100.0,61.92,159.24,45.38,6.2
57,lebu,0.0,ET,1537761495.0,71.0,8.96,38.73,41.6,5.3
58,gat,0.0,SN,1537761496.0,88.0,14.69,-16.54,77.15,7.54
59,mount isa,0.0,AU,1537759800.0,13.0,-20.73,139.49,89.6,8.05
60,castro,76.0,CL,1537761562.0,88.0,-42.48,-73.76,44.57,6.42
61,oussouye,40.0,SN,1537758000.0,88.0,12.49,-16.54,80.6,2.24
62,mataura,92.0,NZ,1537761562.0,97.0,-46.19,168.86,44.57,8.21
63,san juan,0.0,AR,1537761534.0,27.0,-31.54,-68.53,55.28,7.09
64,porbandar,40.0,IN,1537759800.0,83.0,21.64,69.61,82.4,11.41
65,rognan,40.0,NO,1537759200.0,81.0,67.1,15.4,42.8,31.09
66,naze,80.0,NG,1537761564.0,98.0,5.43,7.07,71.93,3.4
67,lewistown,1.0,US,1537760100.0,87.0,40.39,-90.15,62.06,3.36
68,goderich,0.0,CA,1537761358.0,81.0,43.74,-81.71,54.65,11.9
69,bom jardim,75.0,BR,1537758000.0,94.0,-7.8,-35.59,69.8,10.29
70,khatanga,68.0,RU,1537761566.0,98.0,71.98,102.47,44.12,4.07
71,athabasca,56.0,CA,1537761566.0,67.0,54.72,-113.29,41.15,8.99
72,vila velha,0.0,BR,1537761600.0,78.0,-3.71,-38.6,78.8,9.17
73,bethel,90.0,US,1537759740.0,92.0,60.79,-161.76,48.92,16.11
74,grindavik,75.0,IS,1537758060.0,93.0,63.84,-22.43,46.4,21.92
75,seoul,0.0,KR,1537759800.0,28.0,37.57,126.98,73.4,12.75
77,busselton,68.0,AU,1537761568.0,94.0,-33.64,115.35,63.65,10.33
78,roald,40.0,NO,1537759200.0,70.0,62.58,6.12,42.8,10.29
79,port elizabeth,90.0,US,1537761240.0,96.0,39.31,-74.98,66.02,5.82
80,mar del plata,92.0,AR,1537761344.0,100.0,-46.43,-67.52,39.98,3.96
82,east london,40.0,ZA,1537758000.0,87.0,-33.02,27.91,55.4,3.36
83,beringovskiy,76.0,RU,1537761570.0,96.0,63.05,179.32,45.38,10.67
84,ornskoldsvik,64.0,SE,1537759200.0,65.0,63.29,18.72,42.8,16.11
86,hofn,32.0,IS,1537761570.0,100.0,64.25,-15.21,41.6,11.79
87,nenjiang,0.0,CN,1537761571.0,77.0,49.17,125.23,55.91,8.43
88,fairbanks,75.0,US,1537757760.0,89.0,64.84,-147.72,50.0,3.36
90,qaanaaq,0.0,GL,1537761572.0,100.0,77.48,-69.36,14.69,8.1
91,coxim,44.0,BR,1537761572.0,64.0,-18.5,-54.75,77.96,3.96
92,baykit,20.0,RU,1537761572.0,72.0,61.68,96.39,45.65,3.62
93,san policarpo,8.0,PH,1537761572.0,96.0,12.18,125.51,83.0,10.78
94,algiers,1.0,US,1537760100.0,81.0,29.94,-90.04,80.96,3.36
96,cabedelo,75.0,BR,1537758000.0,94.0,-6.97,-34.84,73.4,5.82
97,chokurdakh,92.0,RU,1537761574.0,95.0,70.62,147.9,36.56,7.2
98,saint-philippe,90.0,CA,1537760100.0,58.0,45.36,-73.48,48.2,10.29
99,diapaga,56.0,BF,1537761574.0,88.0,12.07,1.79,74.27,5.08
100,nogales,1.0,US,1537757760.0,45.0,31.34,-110.94,71.96,10.29
101,jamestown,0.0,AU,1537761289.0,46.0,-33.21,138.6,61.04,7.65
102,camopi,20.0,GF,1537761575.0,69.0,3.17,-52.33,79.76,3.85
103,torbay,40.0,CA,1537758000.0,81.0,47.66,-52.73,46.4,14.99
104,chingola,0.0,ZM,1537761576.0,42.0,-12.55,27.86,62.03,9.33
105,barrow,0.0,AR,1537761576.0,55.0,-38.31,-60.23,47.45,8.43
106,vodnyy,68.0,RU,1537761577.0,80.0,63.51,53.41,60.14,9.44
108,wanning,75.0,AT,1537759200.0,81.0,48.64,13.53,50.0,11.41
109,paris,0.0,FR,1537759800.0,81.0,48.86,2.35,48.2,6.93
111,windhoek,92.0,NA,1537758000.0,18.0,-22.57,17.08,69.8,8.05
112,san antonio,0.0,CL,1537758000.0,81.0,-33.58,-71.61,50.0,4.7
113,baracoa,80.0,CU,1537761579.0,100.0,20.35,-74.5,80.66,12.35
114,bathsheba,20.0,BB,1537758000.0,78.0,13.22,-59.52,80.6,10.29
115,gamba,8.0,CN,1537761580.0,73.0,28.28,88.52,36.47,2.95
116,bambous virieux,75.0,MU,1537758000.0,73.0,-20.34,57.76,73.4,16.11
118,kruisfontein,0.0,ZA,1537761646.0,100.0,-34.0,24.73,50.96,5.75
120,sao filipe,0.0,CV,1537761646.0,99.0,14.9,-24.5,77.06,11.01
121,kharp,44.0,RU,1537761647.0,88.0,66.82,65.8,45.11,2.84
123,tuktoyaktuk,90.0,CA,1537758000.0,92.0,69.44,-133.03,26.6,9.17
124,micheweni,92.0,TZ,1537761647.0,100.0,-4.97,39.83,77.6,13.69
125,amga,0.0,RU,1537761648.0,77.0,60.89,131.98,45.92,3.74
126,halifax,75.0,CA,1537758000.0,71.0,44.65,-63.58,51.8,8.05
127,sao joao da barra,12.0,BR,1537761648.0,99.0,-21.64,-41.05,73.82,19.62
128,menongue,48.0,AO,1537761649.0,35.0,-14.66,17.68,70.58,4.63
129,khasan,0.0,RU,1537761649.0,100.0,42.43,130.64,59.78,11.56
130,marsh harbour,92.0,BS,1537761649.0,100.0,26.54,-77.06,82.46,8.99
